epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,414.244,0.69017,3.20331,0.50792,0.54965,1.15596,0.9473,0.94615,0.97888,0.79078,0.85502,0.77621,0.7924,0.49043,0.73148,2.84181,0.47271,0.52691,1.12101,0.0002576,0.0002576,0.0002576
90,418.175,0.69796,3.36461,0.50365,0.5688,1.17033,0.94841,0.96769,0.98162,0.8215,0.87728,0.75265,0.7744,0.46644,0.70015,2.9301,0.47504,0.51475,1.10533,0.0002378,0.0002378,0.0002378
91,424.466,0.53054,2.59945,0.48853,0.48572,1.03981,0.9469,0.94737,0.98168,0.8179,0.87554,0.7406,0.77792,0.48568,0.71135,2.91256,0.47421,0.51977,1.11887,0.000218,0.000218,0.000218
92,430.467,0.54747,2.67123,0.49663,0.45259,1.07351,0.94727,0.94559,0.98071,0.77205,0.87455,0.78947,0.78421,0.50366,0.81826,2.79497,0.46556,0.59401,1.20882,0.0001982,0.0001982,0.0001982
93,434.408,0.53238,2.71201,0.48299,0.44241,1.04777,0.94836,0.96664,0.9809,0.77069,0.88151,0.78327,0.78471,0.48944,0.81747,2.83349,0.46318,0.5843,1.21545,0.0001784,0.0001784,0.0001784
94,438.776,0.48414,2.41927,0.46386,0.40519,1.03012,0.94379,0.97368,0.98271,0.79704,0.90917,0.76316,0.81998,0.49129,0.76986,2.85304,0.45969,0.55399,1.18326,0.0001586,0.0001586,0.0001586
95,442.706,0.50772,2.4463,0.46415,0.41304,1.08337,0.92363,0.95497,0.986,0.78894,0.9153,0.76316,0.79912,0.48832,0.77752,2.87974,0.45388,0.55167,1.19586,0.0001388,0.0001388,0.0001388
96,446.64,0.49451,2.49833,0.46642,0.38631,1.02087,0.94004,0.97368,0.98789,0.77532,0.90471,0.76316,0.79877,0.48924,0.77628,2.87087,0.44956,0.53372,1.21776,0.000119,0.000119,0.000119
97,450.617,0.46448,2.38164,0.46981,0.36846,0.98047,0.93853,0.97368,0.98789,0.78739,0.90635,0.76316,0.80035,0.51115,0.78759,2.83003,0.44808,0.52899,1.23467,9.92e-05,9.92e-05,9.92e-05
98,454.551,0.44807,2.33626,0.45871,0.35311,0.96412,0.94382,0.97368,0.98622,0.79272,0.85268,0.78947,0.79915,0.51437,0.76785,2.82911,0.44731,0.5172,1.20997,7.94e-05,7.94e-05,7.94e-05
99,458.825,0.46221,2.38601,0.46678,0.36959,1.00346,0.94414,0.97368,0.98582,0.80063,0.85215,0.78947,0.79767,0.51982,0.7363,2.84483,0.44432,0.50487,1.1659,5.96e-05,5.96e-05,5.96e-05
100,463.169,0.47749,2.31536,0.45683,0.37033,1.01795,0.94284,0.97368,0.98582,0.81684,0.85282,0.78947,0.79859,0.53095,0.72668,2.84514,0.44466,0.50678,1.15106,3.98e-05,3.98e-05,3.98e-05
